name,LB
Gujarat,NA
Jammu and Kashmir,NA
Arunachal Pradesh,NA
Assam,NA
Sikkim,Severe
West Bengal,NA
Uttaranchal,Moderately Severe
Uttar Pradesh,Low
Bihar,Low
Nagaland,Severe
Manipur,Severe
Mizoram,NA
Tripura,Low
Meghalaya,Moderate
Punjab,Low
Rajasthan,Low
Himachal Pradesh,Moderate
Andhra Pradesh,Low
Orissa,NA
Daman and Diu,NA
Maharashtra,NA
Goa,Low
Karnataka,Moderate
Kerala,NA
Puducherry,Low
Tamil Nadu,NA
Lakshadweep,NA
Andaman and Nicobar,NA
Jharkhand,Low
Delhi,Low
Dadra and Nagar Haveli,NA
Chandigarh,Low
Madhya Pradesh,Low
Chhattisgarh,Moderately Low
Haryana,Low
